Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-7-4,84,MODERATE,79,MODERATE,PM2.5,9,4,26,51,.,79,72,57,60,3,10,29.96,T,Rain,86
2015-7-5,79,MODERATE,90,MODERATE,Ozone,9,3,35,90,18,82,76,61,60,2,9,30.1,0,,260
2015-7-6,90,MODERATE,80,MODERATE,Ozone,9,6,40,80,.,54,78,65,68,3,9,30.13,0,,208
2015-7-7,80,MODERATE,64,MODERATE,Ozone,10,1,30,64,.,59,82,71,76,5,8,30.02,0.12,Fog-Rain,195
2015-7-8,64,MODERATE,71,MODERATE,PM2.5,9,3,43,71,.,71,83,70,72,3,8,29.94,T,,250
2015-7-9,71,MODERATE,59,MODERATE,PM2.5,11,1,33,44,.,59,74,65,72,5,5,29.93,0.3,Rain,80
2015-7-10,59,MODERATE,61,MODERATE,Ozone,9,1,51,61,.,52,78,62,65,5,8,29.92,0,,353
2015-7-11,61,MODERATE,105,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,3,36,105,23,59,79,56,45,2,10,30.06,0,,286
2015-7-12,105,UNHEALTHY FOR SENSITIVE GROUPS,100,MODERATE,Ozone,9,1,26,100,.,55,81,60,50,2,10,30.01,0,,235
2015-7-13,100,MODERATE,129,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,9,4,43,129,.,60,81,61,53,3,10,29.88,0,,178
2015-7-14,129,UNHEALTHY FOR SENSITIVE GROUPS,57,MODERATE,PM2.5,10,1,42,41,.,57,78,69,74,3,7,29.65,0.42,Fog-Rain,137
2015-7-15,57,MODERATE,63,MODERATE,PM2.5,10,1,46,45,.,63,77,69,67,4,5,29.65,0.12,Fog-Rain,11
2015-7-16,63,MODERATE,61,MODERATE,Ozone,9,3,33,61,.,38,72,49,46,6,10,30.02,0,,52
2015-7-17,61,MODERATE,87,MODERATE,Ozone,9,3,33,87,19,38,74,59,62,4,10,30.07,0,,239
2015-7-18,87,MODERATE,54,MODERATE,PM2.5,13,1,34,47,.,54,78,68,72,4,8,29.95,0.32,Fog-Rain,220
2015-7-19,54,MODERATE,108,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,13,3,27,108,.,72,86,70,62,3,10,29.81,0,,252
2015-7-20,108,UNHEALTHY FOR SENSITIVE GROUPS,126,UNHEALTHY FOR SENSITIVE GROUPS,Ozone,8,3,27,126,.,70,88,68,57,5,9,29.7,0,,278
